Sample description: DMPC_25_100
Sample: DMPC_25_100  c= 1 mg/ml  Code: DMPC_25_100_water
Parent(s): analysis/processed/subtracted/DMPC_25_100_water_0363_sub.dat
  1.055240e+00   9.915091e+01   1.529253e+00
  1.058000e+00   1.011079e+02   1.554781e+00
  1.060760e+00   1.008688e+02   1.538036e+00
  1.063520e+00   1.017927e+02   1.542055e+00
  1.066280e+00   9.903217e+01   1.535493e+00
  1.069040e+00   9.895651e+01   1.524636e+00
  1.071800e+00   9.974909e+01   1.543549e+00
  1.074560e+00   9.806737e+01   1.519275e+00
  1.077320e+00   1.028254e+02   1.553865e+00
  1.080080e+00   9.984123e+01   1.525484e+00
  1.082830e+00   1.024683e+02   1.528928e+00
  1.085590e+00   9.940826e+01   1.526455e+00
  1.088350e+00   1.005043e+02   1.516596e+00
  1.091110e+00   1.028926e+02   1.542351e+00
  1.093870e+00   1.006728e+02   1.520629e+00
  1.096630e+00   1.012920e+02   1.527914e+00
  1.099390e+00   1.022520e+02   1.528042e+00
  1.102150e+00   1.010220e+02   1.511961e+00
  1.104910e+00   1.023314e+02   1.522756e+00
  1.107670e+00   1.038351e+02   1.514452e+00
  1.110430e+00   1.000959e+02   1.521461e+00
  1.113190e+00   1.030369e+02   1.524836e+00
  1.115950e+00   1.009946e+02   1.513308e+00
  1.118710e+00   1.011649e+02   1.511783e+00
  1.121460e+00   1.033988e+02   1.507786e+00
  1.124220e+00   9.974873e+01   1.507736e+00
  1.126980e+00   9.935085e+01   1.503738e+00
  1.129740e+00   9.996414e+01   1.501737e+00
  1.132500e+00   9.954767e+01   1.501989e+00
  1.135260e+00   1.028584e+02   1.499295e+00
  1.138020e+00   1.010178e+02   1.492240e+00
  1.140780e+00   1.022208e+02   1.501800e+00
  1.143540e+00   1.019243e+02   1.504093e+00
  1.146300e+00   1.003640e+02   1.499196e+00
  1.149060e+00   1.047613e+02   1.494469e+00
  1.151820e+00   1.003861e+02   1.483492e+00
  1.154580e+00   1.005005e+02   1.483037e+00
  1.157330e+00   1.013179e+02   1.493400e+00
  1.160090e+00   1.020251e+02   1.497888e+00
  1.162850e+00   1.025905e+02   1.492045e+00
  1.165610e+00   9.984813e+01   1.480306e+00
  1.168370e+00   1.017568e+02   1.482730e+00
